,제목,가수,가사,좋아요
10,꽃 길,BIGBANG (빅뱅),"그땐 참 좋았는데 말이야
너와 함께할 수만 있다면
때론 외롭고 슬퍼도 말이야
너와 같이 할 수만 있다면
Sing it na na na
노래해 나나나
우리 이게 마지막이 아니야
부디 또 만나요 꽃이 피면
때론 꽤 별난 일이 많아
넌 나 같이 못난 놈을 만나
다시 누군갈 사랑할 수 있을까?
너 아니라면 그럴 일은 없을 것 같아
나 의식 없이 발길 흐름대로 가던 길
날 화려히 비춰주던 네 빛 한줄기
그 전율이 느껴지는 예쁜 꽃 길
그곳에 너로 인해 설수 있던
Roly poly toy
떠나려거든 보내 드리오리다
님이 가시는 길에 꽃을 뿌리오리다
그리워지면 돌아와 줘요
그때 또 다시 날 사랑해줘요
이 꽃 길 따라 잠시 쉬어가다가
그 자리 그곳에서 날 기다려요
그땐 참 좋았는데 말이야
너와 함께할 수만 있다면
때론 외롭고 슬퍼도 말이야
너와 같이 할 수만 있다면
많이 울기도 했지만 웃은 일도 많아
내 머릿속 안에는 추억이 너무 많아
이 또한 지나갈 테니까
이 다음에 만나요 꽃이 피면
1년 365 이 세상 하나뿐인
넌 내 음악의 motive 날 일깨워주는 은인
네 커다란 꽃밭에 기대어 막 떠오르던 가사 말
아직도 참 생생해 빠담빠담
너란 만개 한 꽃의 색은 100000 개
무한대 거대한 울림 vivaldi의 사계
아직도 그댄 내 맘에 담을 수 없는 그림
내 눈을 의심하지
You are my magical queen
떠나려거든 보내 드리오리다
님이 가시는 길에 꽃을 뿌리오리다
그리워지면 돌아와 줘요
그때 또 다시 날 사랑해줘요
이 꽃 길 따라 잠시 쉬어가다가
그 자리 그곳에서 날 기다려요
꽃 잎 따다 입을 맞추죠
얼굴은 빨개지고
꽃 길을 깔아 준비를 하죠
그대가 오시는 길
그리워지면 돌아와 줘요
그때 또 다시 날 사랑해줘요
이 꽃 길 따라 잠시 쉬어가다가
그 자리 그곳에서 날 기다려요
꽃 잎 따다 입을 맞추죠
얼굴은 빨개지고
꽃 길을 깔아 준비를 하죠
그 자리 그곳에서 날 기다려요
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보","11,907"
11,눈의 꽃,박효신 CONNECT 아티스트,"어느새 길어진 그림자를 따라서
땅거미 진 어둠 속을 그대와 걷고 있네요
손을 마주 잡고 그 언제까지라도
함께 있는 것만으로 눈물이 나는 걸요

바람이 차가워 지는 만큼 
겨울은 가까워 오네요
조금씩 이거리 그 위로 
그대를 보내야 했던 계절이 오네요

지금 올해의 첫 눈꽃을 바라보며
함께 있는 이 순간에
내 모든걸 당신께 주고 싶어 
이런 가슴에 그댈 안아요
약하기만 한 내가 아니에요 
이렇게 그댈 사랑하는데
그저 내 맘이 이럴 뿐인거죠

그대 곁이라면 또 어떤 일이라도
할 수 있을 것만 같아
그런 기분이 드네요
오늘이 지나고 또 언제까지라도
우리 사랑 영원하길 기도하고 있어요

바람이 나의 창을 흔들고
어두운 밤마저 깨우면
그대 아픈 기억마저도
내가 다 지워줄게요 환한 그 미소로

끝없이 내리는 새하얀 눈꽃들로 
우리 걷던 이 거리가
어느새 변한 것도 모르는 체 
환한 빛으로 물들어 가요
누군가를 위해 난 살아갔나요
무엇이든 다 해주고 싶은 
이런게 사랑인줄 배웠어요

혹시 그대 있는 곳 어딘지 알았다면
겨울 밤 별이 돼 그대를 비췄을 텐데
웃던 날도 눈물에 젖었던 슬픈 밤에도
언제나 그 언제나 곁에 있을게요

지금 올해의 첫 눈꽃을 바라보며
함께 있는 이 순간에 
내 모든걸 당신께 주고 싶어 
이런 가슴에 그댈 안아요
울지 말아요 나를 바라봐요 
그저 그대의 곁에서
함께 있고 싶은 맘뿐이라고 
다신 그댈 놓지 않을 테요

끝없이 내리며 우릴 감싸온 
거리 가득한 눈꽃 속에서
그대와 내 가슴에 조금씩 
작은 추억을 그리네요
영원히 내 곁에 그대 있어요
ajaj1035 님이 등록해 주신 가사입니다.
가사 오류 제보","20,470"
12,BOKAY,JSliver,"I said we used to be okay
that smile on your face
overs the way
thinking back of yesterday
Like a women brays
I was the way
Like a women brays
thinking back of yesterday
I said we used to be okay
that smile on your face
overs the way
thinking back of yesterday
Like a women brays
I was the way
Like a women brays
thinking back of yesterday
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보",1
13,dance all night,로제(ROSÉ),"Got out of my bed today
The sunlight was hitting my face
And two little birds came and sat on the edge
and they ask if I'm doin okay
And we talked for a while, sat for a while
And one of them asked me 
if there's anything I would change
And I didn't know what to say
But I 

I would dance all night
Not care about the heartache in my life 
Oh
And I would not obsess
Over all the little things I don't regret 
I'd dance all night, night
I'd dance all night, night
Oh
And I
I'd dance all night
Night
Dance all night 

I wouldn't be so in my head
3 words every chance that I get
Be spontaneous
And better with trust
And say things that I should've said 
I would let my feelings lead me
Let you be the one to hold me now 
And maybe this time you could stay 
Cause I 

I would dance all night
Not care about the heartache in my life 
Oh
And I would not obsess
Over all the little things 
I don't regret I'd dance all night, night
I'd dance all night, night
Oh
And I
I'd dance all night, night 

Dance all night
I'll be there for you tomorrow
You can dry your eyes
We'll laugh away the sorrow
When the morning comes
Just promise me you'll stay forever young 
Forever young
I 

I would dance all night
Not care about the heartache in my life 
Oh
And I would not obsess
Over all the little things I don't regret 
I'd dance all night, night
I'd dance all night, night
Oh
And I
I'd dance all night, night
Dance all night
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보",285
14,Wake Up,Yunebee,"i dunno 가만히 있어도 
괜히 멀어진 느낌이야 전엔
쓸데없이 나누고 싶었던 게 참 많았지 
헤어지기 전엔
조금 만 것들도 이젠 꼴 뵈기 싫어져 
지쳤단 말을 하네
너와 두 손을 맞잡는 관계를 
이제는 진짜로 정리할 때

월 화 수 목 금 what you doin 안 궁금해도
안 내켜도 외부에 시선 돌릴 곳도 잔뜩
이 체인들은 누구 건지 
궁금해하는 너는 who are you?
건들면 수북이 쌓인 시체들처럼 여기 구급
차에 실 려가 주 위
하이에나들이나 너나 똑같지
난 레드 필 없이도 있어 girls 핸드폰에 가득히
남들이 나를 보기엔 내가 너를 붙잡아야 하겠지
but 너 없이는 똑같지만 
나 없인 네 집 크기도 변하잖니

차에 실려간 주위
하이에나들이나 너나 똑같지 yea
난 레드필 없이도 있어 girls 핸드폰에 가득히
남들이 나를 보기엔 내가 너를 붙잡아야 하겠지
but 너 없이는 똑같지만 
나 없인 네 집 크기도 변하잖니

i dunno 가만히 있어도 
괜히 멀어진 느낌이야 전엔
쓸데없이 나누고 싶었던 게 참 많았지 
헤어지기 전엔
조금 만 것들도 이젠 꼴 뵈기 싫어져 
지쳤단 말을 하네
너와 두 손을 맞잡는 관계를 
이제는 진짜로 정리할 때
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보",11
15,Spirit,Chloe snow,"It's a physical
I can we explore something more sprit
I can we explore something more sprit
I'm just asking cuz it's would I need to know
My body secret not just for the taken
Prove to me that your work the way yea
My body secret not just for the taken
Prove to me that your work the way yea
It's a physical
I can we explore something more sprit
I can we explore something more sprit
I'm just asking cuz it's would I need to know
My body secret not just for the taken
Prove to me that your work the way yea
My body secret not just for the taken
Prove to me that your work the way yea
let me give it up to you
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보",1
16,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽(MAKTUB),"별빛이 내린 밤
그 풍경 속 너와 나
날 새롭게 하는
따뜻하게 만드는
니 눈빛 니 미소
영원히 담아둘게
너로 가득한 맘
널 닮아가는 나
날 위한 선물
꿈보다 더 아름다운
서로의 품에서
끝 없는 밤을 걷자
나의 모든 날들을 다 주고싶어
내 이 맘을 모두 전하고 싶어
잠들지 못한
푸른 바람들
이렇게 밝게 이 밤을 비춰
너와 작은 일상을 함께 하는게
내 가장 큰 기쁨인걸 넌 알까
내 세상 속에
넌 빛이 되어
지금 모습 그대로 내 곁에만
행복이 짙은 날
어둠이 없는 밤
같은 맘 속에
같은 꿈이 피어난 건
우리의 정해진
운명이 맞닿은거야
나의 모든 날들을 다 주고싶어
내 이 맘을 모두 전하고 싶어
잠들지 못한
푸른 바람들
이렇게 밝게 이 밤을 비춰
너와 작은 일상을 함께 하는게
내 가장 큰 기쁨인걸 넌 알까
내 세상 속에
넌 빛이 되어
지금 모습 그대로 내 곁에만
내게 온 너란 빛이 눈 부셔도
네 앞에서 한 순간도 눈 감지 않아
다가올 시간도
계절의 바람도
널 데려가지 못하게
내가 더 좋은 사람이 되고 싶어
더 아름답게 널 안을 수 있게
잠들지 못한
잠들 수 없는
바람들이 널 부르고 있어
언제까지나 너와 함께 할거야
내 마지막 숨결도 너일거야
내 세상 속에
넌 빛이 되어
지금 모습 그대로 내 곁에만
이렇게 밝게 이 밤을 비춰
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보","12,942"
17,Gotta wanna back,Luna Jin,"I've been talk
in my sleep
I've been talk
the leaning deep
Looking for wash
I've been blame
In hide and sick
I felt the hit
But never enough

gotta wanna back
gotta wanna back back
gotta wanna back
gotta wanna back back

I've been talk
in my sleep
I've been talk
the leaning deep

gotta wanna back
gotta wanna back back
gotta wanna back
gotta wanna back back
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보",1
18,...사랑했잖아...,린(LYn),"나만 원한다 했던 말도
지켜준다던 약속들도
아무렇지 않은 표정으로 버리고 있잖아
너만 바라본 많은 날들
물거품이 돼버린 오늘
또 아무렇지 않게 웃고있을 너잖아
정말 좋았잖아 행복했었잖아
가슴아픈 그런 일들도 견뎌냈던 우리잖아
제발 그러지마라
아직 사랑하는 날
너도 알고 있잖아
매일밤 울며 전화하는 날
낮설만큼 차가운
니 목소릴 들어도 오
바보처럼 난 너를 못잊어 이렇게
알면서도 시작한 만남
그녀에게 미안한 맘만
하루하루 지날수록 커진 내 헛된 욕심들
많이 부담스러웠겠지
니 자릴 찾으려 했겠지
난 알고 있었어 닫혀진 너의 마음을 음
정말 좋았잖아 행복했었잖아
가슴아픈 그런 일들도 견뎌냈던 우리잖아
제발 그러지마라
아직 사랑하는 날
너도 알고 있잖아
매일밤 울며 전화하는 날
낮설만큼 차가운 니 목소릴 들어도 오
바보처럼 난 니가 행복하길 바래
다시 나에게 돌아올 기회가 온다면
놓치지 않을텐데
니손 꼭 잡을텐데
니가 원했던 만큼
많이 원했던 만큼
잘해주지 못한날
미안해 용서해 이해해줘
끝까지 이기적인거
이것도 이해해줄래 우
바보같은 날 마지막까지 이렇게 음
마지막 까지 음
미안해
shfkddl 님이 등록해 주신 가사입니다.
가사 오류 제보","44,275"
19,Square (2017),백예린 (Yerin Baek),"All the colors and personalities
모든 색깔과 성격들
you can’t see right through what I truly am
그것들 사이로는 내가 정말 어떤 사람인지 볼 수 없어
you’re hurting me without noticing
넌 예고도 없이 나에게 상처를 주고
I’m so, so broke like someone just robbed me
누가 날 털어간 것 마냥 부서진 것 같아

I’m no invincible
난 강한 사람이 아니야
I have much memories of getting more weaker
난 점점 약해져가는 기억들이 훨씬 많은 걸
I know I’m not loveable
나도 내가 사랑받을 수 없는 거 알아
but you know what you’d have to say
그래도 네가 어떤 말을 해줘야 하는지 알지?


“Come on let’s go to bed
“나와 같이 침대로 가자
we gonna rock the night away
우린 이 밤을 신나게 보낼 거야
who did that to you, babe
누가 너에게 그런 짓을 한 거야
If you’re not in the right mood to sleep now then,
네가 당장 잠들 수 있는 기분이 아니라면
Come on, let’s drink and have very unmanageable day
나와서 나랑 한잔하고, 감당하기 힘든 하루를 보내자!
would you want me in bae
내가 거기 있길 바라?
If you’re not in the right mood to sleep now then
네가 당장 잠들 수 있는 기분이 아니라면
come take my arms and go
나와 함께 가자!
I’II be yours for sure”
내가 너의 것이 되어줄게!”


All the traces and reminiscences
모든 흔적들과 과거를 회상하는 일들
You can’t sense right through how I truly was
그 사이로는 내가 정말 어땠는지 느낄 수 없을 거야
You were gripping me without noticing
넌 날 예고도 없이 끌어당겼고
Was so, so strange like Someone never loved me
마치 누가 날 사랑한 적이 없는 것처럼 정말 낯설었어

I’m no invincible
난 강한 사람이 아니야
I have much memories of getting more weaker
난 점점 약해져가는 기억들이 훨씬 많은 걸
I know I’m not loveable
나도 내가 사랑받을 수 없는 거 알아
but you know what you’d have to say
그래도 네가 어떤 말을 해줘야 하는지 알지?


“Come on let’s go to bed
“나와 같이 침대로 가자
we gonna rock the night away!
우린 이 밤을 신나게 보낼거야
who did that to you, babe
누가 너에게 그런 짓을 한거야
If you’re not in the right mood to sleep now then,
네가 당장 잠들 수 있는 기분이 아니라면
Come on, let’s drink and have very unmanageable day
나와서 나랑 마시고, 감당하기 힘든 하루를 보내자
would you want me in bae
내가 거기 있길 바라?
If you’re not in the right mood to sleep now then
네가 당장 잠들 수 있는 기분이 아니라면
come take my arms and go
나와 함께 가자
I’ll be yours for sure”
내가 너의 것이 되어줄게”


You’re the only one, who saw my yesterday
너는 내 어제를 본 유일한 사람이야
the one who knows I’m here alive today
여기, 오늘 내가 살아있다는 걸 아는 사람이고
Comfort me say, what I’m meant to you
날 위로해줘, 내가 너에게 어떤 뜻인지 말해줘
you should know what you have to say
네가 뭐라고 해야 하는지 알아야 해


“Come on let’s go to bed
“나와 같이 침대로 가자
we gonna rock the night away
우린 이 밤을 신나게 보낼 거야
who did that to you, babe
누가 너에게 그런 짓을 한거야
If you’re not in the right mood to sleep now then,
네가 당장 잠들 수 있는 기분이 아니라면
Come on, let’s drink and have very unmanageable day
나와서 나랑 마시고, 감당하기 힘든 하루를 보내자
would you want me in bae
내가 거기 있길 바라?
If you’re not in the right mood to sleep now then
네가 당장 잠들 수 있는 기분이 아니라면
come, take my arms and go
나와 함께 가자
I’ll be yours for sure”
내가 너의 것이 되어줄게”
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보","20,810"
