,title,artist,lyrics,likes
10,사랑은 늘 도망가,임영웅,"눈물이 난다 이 길을 걸으면
그 사람 손길이 자꾸 생각이 난다
붙잡지 못하고 가슴만 떨었지
내 아름답던 사람아
사랑이란 게 참 쓰린 거더라
잡으려 할수록 더 멀어지더라
이별이란 게 참 쉬운 거더라
내 잊지 못할 사람아
사랑아 왜 도망가
수줍은 아이처럼
행여 놓아버릴까 봐
꼭 움켜쥐지만
그리움이 쫓아 사랑은 늘 도망가
잠시 쉬어가면 좋을 텐데
바람이 분다 옷깃을 세워도
차가운 이별의 눈물이 차올라
잊지 못해서 가슴에 사무친
내 소중했던 사람아
사랑아 왜 도망가
수줍은 아이처럼
행여 놓아버릴까 봐
꼭 움켜쥐지만
그리움이 쫓아 사랑은 늘 도망가
잠시 쉬어가면 좋을 텐데
기다림도 애태움도 다 버려야 하는데
무얼 찾아 이 길을 서성일까
무얼 찾아 여기 있나
사랑아 왜 도망가
수줍은 아이처럼
행여 놓아버릴까 봐
꼭 움켜쥐지만
그리움이 쫓아 사랑은 늘 도망가
잠시 쉬어가면 좋을 텐데
잠시 쉬어가면 좋을 텐데","223,245"
11,미안해 미워해 사랑해,Crush,"It's the same day
이렇게 너를
다시 불러보는
잊고 있던 마음들과

이제야 내미는
나의 미련한 진심들
늦어서 미안해

I wish I could have told you that
I was born to love you
To love you with all my heart
널 향한 심장이 멈춰지지가 않아

Still want you all the time
아직 내 마음속 한켠의 방에
그리움으로 가득 채워
너를 기다려
Need you all the time
아무 말도 전하지 못해
시간속을 헤메이는
나를 미워해

It’s the same night
흐릿한 어느 밤 안개 속에 너를
불러보곤 해 난 또

시간 저편에 빛나던
기억을 떠올려
두 손 꼭 잡았던

I wish I could have told you that
I was made to love you
To love you with all my heart
망설이다 혼자 삼켰던 말 사랑해

Still want you all the time
아직 내 마음속 한켠의 방에
그리움으로 가득 채워
너를 기다려
Need you all the time
미친 듯이 네게 달려가
두 팔 가득 너를 품고

And I want you to know you’re the only reason
that I still breathe that I still live
And to tell you
사랑했던 나의 진심이
사랑받던 모든 기억이
내 모든 이유
유일한 이유
Hmmm","101,534"
12,첫 눈,EXO,"첫눈 오는 이런 오후에
너에게 전화를 걸 수만
있다면 기쁠텐데
벌써 일년이 지났는데
난 아직 미련 가득해서
""쓸쓸해"" 어느새 혼잣말

(시계를 되돌려)
1년 전으로 갈 수 있다면
(마음을 되돌려)
지금 우린 달라졌을까
yeah 바보 같은 소리지,
그래도 만약

너를 만나면 눈물 차 올라
바보 같은 난 아무 말 못해
말해줘 메리 메리 크리스마스,
안녕 잘 지내는거지
눈이 내리면 멍든 가슴이
모두 하얗게 다 덮여지게 될까

미안해 잘해주지 못해
후회만 가득 가득 했던,
그 크리스마스

불빛 가득한 거리거리
혼자 걸었어
다들 행복해 보여
너는 언제나 공기처럼
있어줄 거란 착각에,
멍청히 보내,
내가 너무 미안해

(너무 흔한 얘기)
지나고 나면 너무 소중해
(항상 지나치지)
왜 그때는 모르는 걸까
지금은 다를 거야
말해주고파

너를 만나면 눈물 차 올라
바보 같은 난 아무 말 못해
말해줘 메리 메리 크리스마스,
안녕 잘 지내는거지
눈이 내리면 멍든 가슴이
모두 하얗게 다 덮여지게 될까

눈물인지 눈 때문인지
점점 너 멀리 멀리 보이던,
그 크리스마스

정말 신기한 일이야 너의
생각만으로 눈물 차 흐르니말야
Tears are falling, falling, falling
다시 너에게로 가고 싶어
무슨 일이든 할 수 있어
지금까지 삶이
모두 사라진다 해도 Girl

너를 만나면 눈물 차 올라
바보 같은 난 아무 말 못해
말해줘 메리 메리 크리스마스,
안녕 잘 지내는거지
Baby girl ooh- yeah-
눈이 내리면 멍든 가슴이
모두 하얗게 다 덮여지게 될까

미안해 잘해주지 못해
후회만 가득 가득 했던,

너를 만나면 눈물 차 올라
(눈물 차 올라)
바보 같은 난 아무 말 못해
(아무 말 못하는 나 인걸)
말해줘 메리 메리 크리스마스,
잘 지내는거지
눈이 내리면 멍든 가슴이
모두 하얗게 다 덮여지게 될까

눈물인지 눈 때문인지
점점 너 멀리 멀리 보이던,
그 크리스마스","307,866"
13,number one girl,로제 (ROSÉ),"Tell me that I’m special
Tell me I look pretty
Tell me I’m a little angel
Sweetheart of your city
Say what I’m dying to hear
Cause I’m dying to hear you

Tell me I’m that new thing
Tell me that I’m relevant
Tell me that I got a big heart
Then back it up with evidence
I need it and I don’t know why
This late at night

Isn’t it lonely
I’d do anything to make you want me
I’d give it all up if you told me
That I’d be
The number one girl in your eyes
Your one and only
So what’s it gon’ take for you to want me
I’d give it all up if you told me
That I’d be
The number one girl in your eyes

Tell me I’m going real big places
Down to earth so friendly
And even through all the phases
Tell me you accept me
Well that’s all I’m dying to hear
Yeah I’m dying to hear you

Tell me that you need me
Tell me that I’m loved
Tell me that I’m worth it
And that I’m enough
I need it and I don’t know why
This late at night

Isn’t it lonely
I’d do anything to make you want me
I’d give it all up if you told me
That I’d be
The number one girl in your eyes

Your one and only
So what’s it gon’ take for you to want me
I’d give it all up if you told me
That I’d be
The number one girl in your eyes

The girl in your eyes
The girl in your eyes
Tell me I’m the number one girl
I’m the number one girl in your eyes
The girl in your eyes
The girl in your eyes
Tell me I’m the number one girl
I’m the number one girl in your eyes

Well isn’t it lonely
I’d do anything to make you want me
I’d give it all up if you told me
That I’d be
The number one girl in your eyes

Your one and only
So what’s it gon’ take for you to want me
I’d give it all up if you told me
That I’d be
The number one girl in your eyes
The number one girl in your eyes","45,399"
14,헤어지자 말해요,박재정,"헤어지자고 말하려 오늘
너에게 가다가 우리 추억 생각해 봤어
처음 본 네 얼굴
마주친 눈동자
가까스로 본 너의 그 미소들
손을 잡고 늘 걷던 거리에
첫눈을 보다가 문득 고백했던 그 순간
가보고 싶었던 식당
난생처음 준비한 선물
고맙다는 너의 그 눈물들이
바뀔까 봐 두려워
그대 먼저 헤어지자 말해요
나는 사실 그대에게 좋은 사람이 아녜요
그대 이제 날 떠난다 말해요
잠시라도 이 행복을 느껴서 고마웠다고
시간이 지나고 나면 나는
어쩔 수 없을 걸 문득 너의 사진 보겠지
새로 사귄 친구 함께
웃음 띤 네 얼굴 보면
말할 수 없을 묘한 감정들이
힘들단 걸 알지만
그대 먼저 헤어지자 말해요
나는 사실 그대에게 좋은 사람이 아녜요
그대 이제 날 떠난다 말해요
잠시라도 이 행복을 느껴서 고마웠다고
한 번은 널 볼 수 있을까
이기적인 거 나도 잘 알아
그땐 그럴 수밖에 없던
어린 내게 한 번만 더 기회를 주길
그댈 정말 사랑했다 말해요
나는 사실 그대에게
좋은 사람이 되고 싶었어
영영 다신 못 본다 해도
그댈 위한 이 노래가
당신을 영원히 사랑할 테니","183,849"
15,인사,범진,"돌아서는 너를 보며
난 아무 말도 할 수 없었고
슬퍼하기엔 짧았던
나의 해는 저물어 갔네
지나치는 모진 기억이
바람 따라 흩어질 때면
아무 일도 없듯이 보내주려 해
아픈 맘이 남지 않도록
안녕 멀어지는 나의 하루야
빛나지 못한 나의 별들아
차마 아껴왔던 말 이제서야
잘 지내 인사를 보낼 게
떠나가는 너를 보며
난 아무 말도 할 수 없었고
슬퍼하기엔 짧았던
나의 해는 저물어 갔네
돌이킬 순 없는 추억이
바람 따라 흩어질 때면
아무 일도 없듯이 보내주려 해
아픈 맘이 남지 않도록
안녕 멀어지는 나의 하루야
빛나지 못한 나의 별들아
차마 아껴왔던 말 이제서야
잘 지내 인사를 보낼 게
잘 지내 인사를 보낼 게","138,559"
16,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,"네가 없이 웃을 수 있을까
생각만 해도 눈물이나
힘든 시간 날 지켜준 사람
이제는 내가 그댈 지킬 테니
너의 품은 항상 따뜻했어
고단했던 나의 하루에
유일한 휴식처
나는 너 하나로 충분해
긴 말 안 해도 눈빛으로 다 아니깐
한 송이의 꽃이 피고 지는
모든 날 모든 순간 함께해
햇살처럼 빛나고 있었지
나를 보는 네 눈빛은
꿈이라고 해도 좋을 만큼
그 모든 순간은 눈부셨다
불안했던 나의 고된 삶에
한줄기 빛처럼 다가와
날 웃게 해준 너
나는 너 하나로 충분해
긴 말 안 해도 눈빛으로 다 아니깐
한 송이의 꽃이 피고 지는
모든 날 모든 순간 함께해
알 수 없는 미래지만
네 품속에 있는 지금 순간 순간이
영원 했으면 해
갈게 바람이 좋은 날에
햇살 눈부신 어떤 날에 너에게로
처음 내게 왔던 그날처럼
모든 날 모든 순간 함께해","436,245"
17,다정히 내 이름을 부르면,경서예지,"끝없이 별빛이 내리던 밤
기분 좋은 바람이
두 뺨을 스치고
새벽 바다 한곳을 보는
아름다운 너와 나
그림을 그려갔어
모래 위 떨린 손끝으로
날 향해 웃어주는 입술
끝 모양과 저 달보다
사랑스러운 두 눈을 가진 네가
다정히 내 이름을
부르면 내 마음이
녹아내려 언제나
나 하날 위해 준비된
선물 같아 널 안으면
잠들지 않는 바다 위를
너와 함께 걷는 거 같아
하늘 아래 너와 나
남은 내 모든 날을 너에게
다 줘도 안 아까워
이제서야 내가
사랑에 눈을 뜬 건 가봐
경험하지 못했고
믿기지 않는 일만
일어나고 있는 거 아니
5월에 피는 봄꽃 처럼
내 사랑도 피어나
부는 바람에 살며시 실어 보내
다정히 내 이름을
부르면 내 마음이
녹아내려 언제나
나 하날 위해 준비된
선물 같아 널 안으면
잠들지 않는 바다 위를
너와 함께 걷는 거 같아
하늘 아래 너와 나
설레는 지금이
꿈이 아닌 걸 알잖아
난 더 바랄 게 없어
먼 훗날 내 생애
아주 작은 소리로
귓가에 말할 거야
내 곁에 머물러줘서
마음 다해 고맙다고
어떤 말로도 표현 못 할
내 인생의 전부였다고
이 순간 너를 꼭 안고
고백할게 언제나
우리 모든 날들과
별빛 아래 우리 그림자
제일로 특별하다고
길고 긴 겨울 끝을 지나
너의 앞에 서있는 지금
선명한 목소리로
널 사랑한다고
말할게","207,201"
18,살기 위해서,순순희,"원합니다 내가 살기 위해서
내가 이렇게도 가슴이 뛰는 건
그대가 내 마음에 다녀 갔었나 봐
우리 사랑은 또 스쳐가지만
세상에서 가장 그리운 사람
내가 어느새 그대 이름을 불러
원합니다 내가 살기 위해서
그 사랑이 아파도 기다릴게 여기서
사랑이란 멀리 있어도
언젠간 만날 테니까
네가 없으면
죽을 것 같아서 살기 위해서
왜 이유 없이 눈물이 났는지
그렇게 가슴 아파야 했는지
지금 달려가 꼭 말해주고 싶어
원합니다 내가 살기 위해서
그 사랑이 아파도 기다릴게 여기서
사랑이란 멀리 있어도
언젠간 만날 테니까
네가 없으면
죽을 것 같아서 널 사랑해서
두 번 다신 못 보게 될까 봐
연기처럼 네가 사라질까 봐
난 두려워
원합니다 내가 살기 위해서
날 살게 해준 사람 바로 그대입니다
눈물마저 고맙습니다
그대가 준 것이니까
그리움 조차 나는 행복해서
살기 위해서 널 사랑해","21,622"
19,눈이 오잖아(Feat.헤이즈),이무진,"한 달 좀 덜 된 기억들
주머니에 넣은 채
걷고 있어 몇 시간을
혹시 몰라 네가 좋아했던
코트를 입은 채
나온 번화가 그때 마침
찬바람 막아줄
네가 이젠 없으니까
추울 때 따스히
안아줄 이가 없으니까
친구들이 불러도
나갈 수 없어 난
창문 너머
그저 바라봐 그때 마침
눈이 오잖아
우리 처음 만난 그 밤에도
한참 동안 눈이 왔잖아
지금 내가 생각나지
않을 리가 없잖아
눈이 오잖아
그때 내가 밤하늘 내린
하얀 눈 예쁘다 했잖아
그랬잖아
지금 눈이 오잖아
Uh 눈이 오잖아
이 말 핑계인 걸 알지만
생각에 잠기곤 해
거릴 거니는 내
곁에 아무도 없을 때
더 크게 들리네
Oh 눈 내리는 소리
이제 인정하자
수많은 끝도 끝났어
찬란한 그때의
우린 이젠 없으니까
돌아온 계절
남아있는 건 없으니까
추억을 지우는 게
내 이별의 숙제
창문 너머
그저 바라봐 그때 마침
눈이 오잖아
우리 처음 만난 그 밤에도
한참 동안 눈이 왔잖아
지금 내가 생각나지
않을 리가 없잖아
눈이 오잖아
그때 내가 밤하늘 내린
하얀 눈 예쁘다 했잖아
그랬잖아
지금 눈이 오잖아
마지막 안녕이 남은 거리에서 혼자
너와의 약속들을 되뇌었어
함께여야 할 너 없는 이 겨울의
첫눈이 오잖아
눈이 오지만
우리 처음 만난 그 밤에도
내렸던 그 눈이 오지만
주머니 속 챙겨 나온 기억
버려야만 해
눈이 오지만
우린 이대로의 모습으로
남아있는 게 맞지만
그래도
지금
그 눈이 오잖아","153,313"
20,청혼하지 않을 이유를 못 찾았어,이무진,"너에게 안 믿길 만큼 받은 게 참 많아요
우선은 너 하나, 그리고 우리란 말
사실 더할 나위 없이 그거면 됐지요
우리만의 기억 과분한 선물이지요

너로 인해 난 놀랍게도 변한 게 참 많아요
맘속엔 너와 날 가득히 채운 바다
잡은 두 손 사이로 붉은 실이 보이죠
어쩌면 정해져 있었던 걸지도

근데 있잖아 자연스런 고백이 난 제일 어려워
내 맘을 멋있게 전하고 싶어 고민했어
수많은 바람 끝에 너에게 할 말을 정했어
가장 솔직하고 감동적인 말

너에게 청혼하지 않을 이유를 못 찾았어
내 일상, 내 모든 하루는 너라서
그댄 오늘도 정말 예쁘네요
빛나줘 곁에서 부디 영원토록

수백 번 연습하며 오늘을 기다려왔어
어쩌면 어설픈 말들일지라도
그댈 내일 더 사랑할 거란 것
그게 내가 청혼할 이유
그 이유의 이유

마침내 전한 내 고백 조금은 수줍어도
굳게 잡은 두 손 놓지 않기로 약속
마지막까지도 꼭 함께하기로
그 마지막의 마지막의 마지막까지도

너에게 청혼하지 않을 이유를 못 찾았어
내 일상, 내 모든 하루는 너라서
그댄 오늘도 정말 예쁘네요
빛나줘 곁에서 부디 영원토록

수백 번 연습하며 오늘을 기다려왔어
어쩌면 어설픈 말들일지라도
그댈 내일 더 사랑할 거란 것
그게 내가 청혼할 이유
그 이유의 이유

많은 사람들 중에
그 많은 순간들 중에
만난 우리
우연과 얽힌 운명들 중에
가장 찬란한 순애
그 서막 끝의 무대

너에게 청혼하지 않을 이유를 못 찾은 것
기억 속 찬란함이 온통 너란 것
그댄 오늘도 정말 예쁘단 것
전부야 너무나 당연한 이유가

난 이제 준비해 둔 모든 말을 꺼내 뒀어
항상 내 맘 한켠 담아뒀던 프러포즈
그댄 내일도 아름다울 거란 것
그게 내가 청혼한 이유
그저 너란 이유","45,155"
21,사랑인가 봐,멜로망스,"너와 함께 하고 싶은 일들을
상상하는 게
요즘 내 일상이 되고
너의 즐거워하는 모습을 보고 있으면
자연스레 따라 웃고 있는 걸
너의 행동에 설레어하고 뒤척이다가
지새운 밤이 많아지는데
이건 누가 봐도 사랑일 텐데
종일 함께면 질릴 텐데
나 돌아서도 온통 너인 건
아무래도 사랑인가 봐
점점 너와 하고 싶은 일들 생각하면서
하룰 보낸 날이 많아지는데
이건 누가 봐도 사랑일 텐데
종일 함께면 질릴 텐데
나 돌아서도 온통 너인 건
아무래도 사랑인가 봐
너의 행복해하는 모습을 보고 있으면
나도 모르게 따라 웃는데
이 정도면 알아줄 만하잖아
너도 용기 낼만 하잖아
나만 이런 게 아니라면
우리 만나볼 만하잖아
아무래도 사랑인가 봐","219,470"
22,취중고백,김민석,"뭐하고 있었니 늦었지만
잠시 나올래
너의 집 골목에 있는
놀이터에 앉아 있어
친구들 만나서 오랜만에
술을 좀 했는데
자꾸만 니 얼굴 떠올라
무작정 달려왔어
이 맘 모르겠니
요즘 난 미친 사람처럼
너만 생각해
대책없이 네가 점점 좋아져
아냐 안 취했어 진짜야
널 정말 사랑해
눈물이 날만큼 원하고 있어
정말로 몰랐니
가끔 전화해 장난치듯
주말엔 뭐할거냐며
너의 관심 끌던 나를
그리고 한번씩 누나 주려 샀는데
너 그냥 준다고
생색 낸 선물도 너 때문에 산거야
이 맘 모르겠니
요즘 난 미친 사람처럼
너만 생각해
대책없이 네가 점점 좋아져
아냐 안 취했어 진짜야
널 정말 사랑해
진심이야 믿어줘
갑자기 이런 말 놀랐다면 미안해
부담이 되는게 당연해
이해해 널
하지만 내 고백도 이해해 주겠니 oh
지금 당장 대답하진마
나와 일주일만 사귀어줄래
후회없이 잘 해주고 싶은데
그 후에도 니가 싫다면
나 그때 포기할게
귀찮게 안할게 혼자 아플게
진심이야 너를 사랑하고 있어","195,612"
