,title,artist,lyrics,likes
0,어쩌면...,황인욱,"어쩌면 오늘이 마지막이
될지도 몰라
나의 사랑이 떠날지 몰라
불안한 나의 마음 네가
알아챌 것만 같아서
너와 눈도 마주치지 못했어

너의 그 사람 다시 돌아왔을 때
많이 힘들어하던 너
깊은 고민에 빠진 너
제발 아니길 don't say good bye

떠나지 마 사랑하잖아 내가 있잖아
너를 버렸던 그 사람에게 가지 마
지난 눈물 기억해 줘
돌아간다면 떠나간다면
네가 겪었던 똑같은 이유로
내 삶이 무너질 텐데

시간이 지나면 모두
잊혀질 거란 얘기
너를 미워해달라는 얘기
그렇게 하지 못할 나의 마음을
알고 있잖아
너무 그 사람만 생각하지 마

왜 하필이면 다시 그 사람이니
한번 버렸던 사랑은 두 번
버리기 쉬운데
다시 생각해 don't say good bye

떠나지 마 사랑하잖아 내가 있잖아
너를 버렸던 그 사람에게
가지 마 지난 눈물 기억해 줘
끝이 아니야 잠시뿐이야
나의 사랑을 확인할 시간이
너에게 필요할 뿐이야

I believe 우리의 사랑
You're my everything
Never give you up
내가 너무 사랑해
너만을 내가 사랑해
여기 있을게 널 위해
Never say good bye

떠나지 마 사랑하잖아 내가 있잖아
너를 버렸던 그 사람에게 가지 마
지난 눈물 기억해 줘
돌아간다면 떠나간다면
네가 겪었던 똑같은 이유로
내 삶이 무너질 텐데

You're mine never say good bye
You're mine never say good bye",195
1,Little more,정아로,"알고 싶어 I wanna know yah
하나부터 열까지 다
Tell me little more, little more, little more
How do I love you Babe?

똑똑 니 맘을 두드려봐
궁금해 넌 무슨 생각 하는지
아무리 티를 내봐도 넌
눈치도 없나 봐 어쩌지?

내가 다가가 줄게
넌 꼼짝 말고 거기 있어 줘
Oh, one step at a time
천천히, 시간이 필요해

어쩌면 내 맘은
이미 너에게
빠져들었나 봐

알고 싶어 I wanna know yah
하나부터 열까지 다
Tell me little more, little more, little more
How do I love you babe? (Tell me how do I love you)

오 이런 기분 또 처음이야
물음표가 떠다니잖아
알 듯 말 듯해
너의 모든 게
Tell me little more, little more

Hey there
니 맘을 말해줘
어딜 봐 난 너를 보고 있는데
망설일 시간은
이미 끝났잖아
Why don’t you know

어쩌면 아직은
조심스런 마음을
너도 알고 있을까

꿈결처럼 전해진 이 떨림
놓치고 싶지 않아 지금 이 느낌
So tell me everything

알고 싶어 I wanna know yah
하나부터 열까지 다
Tell me little more, little more, little more
How do I love you babe? (Tell me how do I love you)

오 이런 기분 또 처음이야
물음표가 떠다니잖아
알 듯 말 듯해
너의 모든 게
Tell me little more, little more

Tell me just a little more
Cuz I, I wanna know you more
오 궁금해 니가
So tell me little more, little more",44
2,Make your right,장호,"늘 함께한 날 들
그림자처럼 멀리
흩어 사라져가

끝없이
흐르는 시간 속에서
너와 나의 이야긴
끝나버린 거야

Make your right Make your right
이별에 끝에 서서
사랑이란 글자의 아픔을 느끼면서

Make your right Make your right
터질 것 같은
후회를 바라보며
떠나 더 좋은 곳으로

끝없이
흐르는 시간 속에서
너와 나의 이야긴
끝나버린 거야

Make your right Make your right
이별에 끝에 서서
사랑이란 글자의 아픔을 느끼면서

Make your right Make your right
터질 것 같은
후회를 바라보며
떠나 더 좋은 곳으로",0
3,Just,젤텐,"오랜만에 문득 떠오른 네 모습에
괜찮냐고 묻고 싶은 마음이 참 그래
잘 지내고 있는지, 누군가 만나 행복한지
나 없이 웃는 너를 상상해 본다

잘 지내고 있는 거라면 좋겠어
아픈 기억은 잊고, 웃을 일만 가득하기를
어떻게든 나도 행복할 테니
서로의 길을 걸어가며 살아가기를

혹시라도 잠깐 내 생각이 났을까
전화할까 말까 고민하는 내가 싫다
누군가 네 곁에 있다면, 잘해주길 바래
내가 못해준 그 모든 걸 해주길

잘 지내고 있는 거라면 좋겠어
아픈 기억은 잊고, 웃을 일만 가득하기를
어떻게든 나도 행복할 테니
서로의 길을 걸어가며 살아가기를

가끔씩은 우리 추억 떠올려 줄래
괜찮아, 난 너 없는 나를 찾을게
서로가 흘린 눈물 그 의미 잊지 말고
너도 나처럼 살아가기를

잘 지내고 있는 거라면 좋겠어
아픈 기억은 잊고, 웃을 일만 가득하기를
어떻게든 나도 행복할 테니
서로의 길을 걸어가며 살아가기를

서로를 놓아야 할 시간 속에서 의미 없지만
니가 행복하기를 바랄게",0
4,Ocean Away,BGM ful,"[가사 준비중] 멜론 회원 여러분! 가사 등록을 기다리고 있어요.
가사등록하기",0
5,상상 그 이상,유캔디,"오 오늘 밤 캄캄해
뜨거운 너의 살결에
데어 버려
상처가 된 난
헤어 나올 수 없어

오늘 밤 감정으론 단잠이 들 수 없어
그날 밤 널 상상하던 넌 그 이상이었어

오늘 밤 감정으론 단잠이 들 수 없어
그날 밤 널 상상하던 넌 그 이상이었어

오늘 밤 감정으론 단잠이 들 수 없어
그날 밤 널 상상하던 넌 그 이상이었어",0
6,별 (dear star),최광원,"차가운 계절이 지나가고 있어
오랜 시간 기다려온
끝이 보이지 않던 날

춥고 외로웠던 어둔 밤을 넘어
구름 틈 사이로 널 비출거야

밤 하늘에 새겨진 수많은 별들 중에
숨겨둔 작은 별 하나

언젠가 니가 빛나길 기대해
아득히 먼 우주 위에
날아 오를거야 반짝일거야

매일 밤 별들이 뜨고 사라져
이내 빛을 잃어도
넌 빛날거야 넌 웃을거야
잘 될거야

때론 짙은 구름이
저 하늘을 가려도
감출수 없는 그게 너란걸

언젠가 니가 빛나길 기대해
아득히 먼 우주 위에
날아 오를거야 반짝일거야

매일 밤 별들이 뜨고 사라져
이내 빛을 잃어도
넌 빛날거야 넌 웃을거야
잘 될거야

난 너를 기대해
꼭 너를 기대해
널 위해 기도해

난 너를 기대해
꼭 너를 기대해
모두 널 기대해

언젠가 빛날 그 날을 기억해
커다란 저 세상 위로
날아 오를거야 반짝일거야

오랜 날 수많은 시간의 끝에
모두 빛을 잃어도
넌 빛날거야 넌 웃을거야
잘 될거야",0
7,Fate,Zenho,"글쎄 난 그저 잘 되고 싶어 했을 뿐인데
그새 뭐가 문제였던 건지 벌써 떠나 왜?
Let me make it right again
I don't see how that adds up
우리 아직 하루 남았잖아
우리가 왜 이렇게 끝이나?
Let me make it right again
I don't see how that adds up

널 만나고서부터 였지 (Every day)
너로 인해서 변해갔던 (Every way)
지금 입고 다니는 Clothes
평소 자주 다니던 Course
정말 사소한 것부터 변해갔지 너를 위해서

준비했었던 말을 끝내 못하고
좋아할 만한 행복해할만한 것들 챙기고
다시 발길을 돌려야 했던 난
다시 돌아가는 중이야 (첨으로)

글쎄 난 그저 잘 되고 싶어 했을 뿐인데
그새 뭐가 문제였던 건지 벌써 떠나 왜?
Let me make it right again
I don't see how that adds up
우리 아직 하루 남았잖아
우리가 왜 이렇게 끝이나?
Let me make it right again
I don't see how that adds up

알고 싶어도 너에겐 부담일까 봐
너만큼은 편하게 해주고 싶었어 근데
생각과 다르게 너는 날 모르게 해
이랬다저랬다 또다시 날 힘들게 해

우린 처음부터 운명이라 했지만
난 여전해 넌 지웠겠지만
우린 처음부터 운명이라 했지만
난 여전해 넌 잊었겠지만

글쎄 난 그저 잘 되고 싶어 했을 뿐인데
그새 뭐가 문제였던 건지 벌써 떠나 왜?
Let me make it right again
I don't see how that adds up
우리 아직 하루 남았잖아
우리가 왜 이렇게 끝이나?
Let me make it right again
I don't see how that adds up

글쎄 난 그저 잘 되고 싶어 했을 뿐인데
그새 뭐가 문제였던 건지 벌써 떠나 왜?
Let me make it right again
I don't see how that adds up
우리 아직 하루 남았잖아
우리가 왜 이렇게 끝이나?
Let me make it right again
I don't see how that adds up",1
8,I Feel Like You,Room7,"[가사 준비중] 멜론 회원 여러분! 가사 등록을 기다리고 있어요.
가사등록하기",0
9,NEO,제임스 키스 (James Keys),"I SAY WAKE UP EVERYBODY
이 땅은 답이 없어 모두 똑같지
I SAY WAKE UP 모두같이
춤을 추고 돌아보자 매일 party
I SAY WAKE UP EVERYBODY
이 삶을 끝낼 방법 각자에게 있지
I SAY WAKE UP EVERYBODY
혹시 나만 답답한 건 아니지????

Life is suck
Life is suck
Life is suck
매일 같은 삶 돌아봤자 똑같은 걸
Lame as fuck
난 싫어
여긴 답답하고 답이 없는 냄새 많이 나는 걸
SHOW ME LOVE GIMME MORE!!!!

장난 아니라 모든 게 다 장난 같은 걸 미쳐가기 전 포기하고 싶어

WE JUST WANNA GO OUTSIDE
I KNOW YOU WANNA GO OUTSIDE

WE JUST WANNA GO OUTSIDE
I KNOW YOU WANNA GO OUTSIDE

WE JUST WANNA GO OUTSIDE
I KNOW YOU WANNA GO OUTSIDE

WE JUST WANNA GO OUTSIDE
I KNOW YOU WANNA GO OUTSIDE

BABYBABYBABYBABYBABYBABYBABYBABYBABYBABYBABYBABY
Won’t you smile?

알아 지금 웃음도 나지 않고 모든 상황을 심각하게만 바라보는 거는 너의 맘
우린 모두 필요한 거 같아 나대로 사는 법 학교에서는 알려주지 않잖아
공장에서 찍어내서 때 되면 내보내기를 몇십 년 동안 반복만 하고 있잖아

모든 게 한순간에 사라졌다 다시 붙어 살아나길 반복한 결과
모든 게 한순간에 사라졌다 다시 붙어 살아나길 반복한 결과
모든 게 한순간에 사라졌다 다시 붙어 살아나길 반복한 결과
모든 게 한순간에 사라졌다 다시 붙어 살아나길 반복한 결과

나도 알아 이런 삶을 원한 건 아니지
우연히 주어진 삶 yeah So AMAZING
언젠간 떠날 수 있겠지 yeah AMAZING yeah so AMAZING

DD! 알러뷰소 이 거짓뿐인 세상에서도
근원형 날 구해줘 이 빌어먹을 내 머릿속에서
민수형 날 꺼내줘 빌어먹는 굴레 속에서
재달형 돌아와 줘 머릴 터트리고 소리를 질러줘

WE JUST WANNA GO OUTSIDE
I KNOW YOU WANNA GO OUTSIDE

WE JUST WANNA GO OUTSIDE
I KNOW YOU WANNA GO OUTSIDE

WE JUST WANNA GO OUTSIDE
I KNOW YOU WANNA GO OUTSIDE

WE JUST WANNA GO OUTSIDE
I KNOW YOU WANNA GO OUTSIDE

WE JUST WANNA GO OUTSIDE
I KNOW YOU WANNA GO OUTSIDE

WE JUST WANNA GO OUTSIDE
I KNOW YOU WANNA GO OUTSIDE

WE JUST WANNA GO OUTSIDE
I KNOW YOU WANNA GO OUTSIDE

WE JUST WANNA GO OUTSIDE
I KNOW YOU WANNA GO OUTSIDE

WE JUST WANNA GO OUTSIDE
I KNOW YOU WANNA GO OUTSIDE

WE JUST WANNA GO OUTSIDE
I KNOW YOU WANNA GO OUTSIDE

WE JUST WANNA GO OUTSIDE
I KNOW YOU WANNA GO OUTSIDE

WE JUST WANNA GO OUTSIDE
I KNOW YOU WANNA GO OUTSIDE",0
